parametro,valor_baixo,valor_alto,multiplo_baixo,multiplo_alto,amplitude,multiplo_base
P(falha) Seed,0.5499999523162842,0.8500000238418579,3.0115897660825857,1.9605210448982213,1.0510687211843643,2.482784674555014
σ Seed,1.275,1.7249999999999999,2.210030314372836,2.9007755990737683,0.6907452847009323,2.482784674555014
P(falha) Series A,0.3499999940395355,0.6499999761581421,2.7187275358448177,2.254433318723566,0.46429421712125185,2.482784674555014
σ Series A,1.105,1.4949999999999999,2.320567929497849,2.7210515864614533,0.40048365696360433,2.482784674555014
μ Seed,0.85,1.15,2.338460710587326,2.648203345751279,0.30974263516395295,2.482784674555014
μ Series A,0.75,1.05,2.372473602710565,2.6088156463448198,0.23634204363425493,2.482784674555014
P(falha) Series B,0.19999998807907104,0.5,2.5952636887080227,2.373876131328845,0.22138755737917792,2.482784674555014
σ Series B,0.935,1.265,2.4089750653230073,2.5870088528899826,0.1780337875669753,2.482784674555014
μ Series B,0.5499999999999999,0.85,2.4171227116075147,2.5582226332018188,0.14109992159430407,2.482784674555014
P(falha) Series C,0.09999999403953552,0.4000000059604645,2.5211991884015212,2.4438171063644805,0.07738208203704078,2.482784674555014
μ Series C,0.35,0.65,2.4560547534464674,2.5151314219182006,0.05907666847173321,2.482784674555014
σ Series C,0.765,1.035,2.4614739621796424,2.5115987300224942,0.0501247678428518,2.482784674555014
